date,description,amount
2024-05-31,La Colombe Coffee,-7.95
2024-06-01,Salary Deposit,3500.00
2024-06-02,Vons Grocery Store,-118.25
2024-06-03,Black Rifle Coffee,-8.50
2024-06-04,Racetrac Gas,-48.90
2024-06-05,B&H Photo Video,-567.00
2024-06-06,Funimation Streaming,-7.99
2024-06-07,Dental Crown Procedure,-800.00
2024-06-08,DoorDash Group Order,-67.50
2024-06-09,Texas Roadhouse,-68.90
2024-06-10,Summer Electric Bill,-245.60
2024-06-11,Ross Dress for Less,-78.40
2024-06-12,Arby's Roast Beef,-12.60
2024-06-13,Membership Warehouse,-156.80
2024-06-14,Dropbox Plus,-11.99
2024-06-15,Physical Therapy Session,-65.00
2024-06-16,Whole Foods 365,-95.70
2024-06-17,Toll Road Charges,-18.50
2024-06-18,Showcase Cinema,-19.00
2024-06-19,ShopRite Supermarket,-104.35
2024-06-20,Investment Dividend,250.00
2024-06-21,MAX Streaming Service,-15.99
2024-06-22,Vision Exam Copay,-25.00
2024-06-23,Fiber Internet Upgrade,-99.99
2024-06-24,Jimmy John's Sandwiches,-15.80
2024-06-25,QuikTrip Gas Station,-52.15
2024-06-26,Patreon Subscriptions,-15.00
2024-06-27,Wayfair Home Decor,-234.50
2024-06-28,Event Parking Downtown,-25.00
2024-06-29,Origin Games Purchase,-39.99
2024-06-30,Grocery Outlet,-58.90
